air_date,round,category,value,question,answer
10/5/04,Final Jeopardy!,AMERICANA,,This Monsanto product was developed as a covering to turn asphalt lots in urban areas into playgrounds,AstroTurf
4/17/90,Final Jeopardy!,MAGAZINES,,The 2 major literary monthlies founded in the 1850s that survive today,The Atlantic Monthly & Harpers
7/15/96,Final Jeopardy!,RULERS,,Last name of the last man to sit in power on the Peacock Throne,(Shah Reza) Pahlevi (of Iran)
10/19/11,Final Jeopardy!,THE 20th CENTURY,,In the 1940s Franklin Roosevelt coined this term in reference to all the countries allied against the Axis powers,United Nations
12/23/96,Final Jeopardy!,BUSINESS & INDUSTRY,,"""America's Favorite Food"", a book about this company, contains 12 pages of Andy Warhol's art",Campbell Soup Company
5/9/01,Final Jeopardy!,ANIMALS,,"The German name for this animal is nilpferd, or ""Nile horse""",hippopotamus
3/30/04,Final Jeopardy!,AMERICAN LITERATURE,,"It contains the line ""There stood the Kaatskill Mountains...there was every hill and dale...as it had always been""",Rip Van Winkle
4/26/00,Final Jeopardy!,U.S. CITIES,,The 34 peaks of the roof of this city's airport represent mountains that are about 30 miles away,Denver
2/25/08,Final Jeopardy!,BIBLICAL PLACE NAMES,,"In ""Return of the Jedi"", a planet shares its name with this home of a woman who summons a spirit for Saul",Endor
5/23/07,Final Jeopardy!,MNEMONIC DEVICES,,"A traditional mnemonic device for remembering these begins, ""Willie, Willie, Harry, Stee, Harry, Dick, John, Harry Three""",English monarchs
11/16/07,Final Jeopardy!,COLONIAL AMERICAN GOVERNMENT,,"From the Latin for ""fortified town"", this term later referred to a person--the representative of a town or borough",burgess
6/22/07,Final Jeopardy!,FOOD & DRINK HISTORY,,"The world's first pure food & beverage law, one pertaining to beer, was proclaimed by the Duke of this region in 1516",Bavaria
12/24/08,Final Jeopardy!,19th CENTURY BOOKS,,"Its author called it ""a Ghostly little book... which shall not put my readers out of humour... with the season""",A Christmas Carol
1/11/07,Final Jeopardy!,AMERICAN THEATRE HISTORY,,This 1943 musical is based on a 1931 play that featured Tex Ritter as a cowboy & Lee Strasberg as a peddler,Oklahoma!
11/30/93,Final Jeopardy!,1990s GEOGRAPHY,,"In area, it's now the largest country whose boundaries are wholly within Europe",Ukraine
10/29/99,Final Jeopardy!,19th CENTURY FICTIONAL CHARACTERS,,This title horror character was created by its author at 6 Royal Crescent in the resort of Whitby in Yorkshire,Dracula (created by Bram Stoker)
3/12/01,Final Jeopardy!,BUSINESS & INDUSTRY,,"Founded as Pacific Aero Products in 1916, today this company is America's largest exporter, in total revenue",Boeing
10/12/00,Final Jeopardy!,BRITISH WORD ORIGINS,,These political party names began as negative terms for the 2 factions warring over the 1678 Meal-Tub Plot,Tories & Whigs
7/19/91,Final Jeopardy!,POETS,,"This baron was England's poet laureate from 1850 to 1892, longer than anyone else",Alfred Lord Tennyson
2/21/11,Final Jeopardy!,GREEK MYTHOLOGY,,"Though Rhea was his mother, in one tradition this god was brought up by Capheira, the daughter of Oceanus",Poseidon
11/2/99,Final Jeopardy!,SCIENCE HISTORY,,In 1672 Christiaan Huygens sketched its southern ice cap,Mars
1/27/97,Final Jeopardy!,POLITICIANS,,"His rise began when he upset Robert M. La Follette, Jr. in a 1946 Senate primary",Joseph McCarthy
3/4/11,Final Jeopardy!,SCIENTIFIC DISCOVERIES,,"In 1919, barely 20 years after its discovery, it was the world's most expensive substance at $3 million an ounce",radium
7/6/93,Final Jeopardy!,PRESIDENTIAL INAUGURATIONS,,He used more words in his one inaugural address than FDR used in all four of his,William Henry Harrison
9/20/04,Final Jeopardy!,ART SUBJECTS,,"Seen in sculpture, Eustache de St. Pierre & 5 other wealthy men made themselves hostages to free this city",Calais (from Rodin's The Burghers of Calais)
7/8/04,Final Jeopardy!,FICTIONAL PEOPLE,,"After a 58-year flirtation, this woman called it off temporarily in issue No. 720",Lois Lane
3/29/10,Final Jeopardy!,19th CENTURY LITERATURE,,In an 1877 novel Mrs. Gordon initially suggests the name Ebony for this title character,Black Beauty
3/2/07,Final Jeopardy!,PRESIDENTIAL ELECTIONS,,"Elected President twice, he beat his 2 opponents by a combined Electoral College tally of 1,014-62",Ronald Reagan
6/24/87,Final Jeopardy!,SCULPTURE,,"Dedicated in Concord, Mass. in 1875, it was Daniel Chester French's 1st commission",The Minuteman
11/3/00,Final Jeopardy!,RICH & FAMOUS,,"""Worth"" magazine says with 1.7 million ranchland acres in 5 states, this mogul is the USA's largest private landowner",Ted Turner
12/10/08,Final Jeopardy!,AMERICANA,,An 1890 act of Congress says these can be redesigned no more than once every 25 years,coins
10/16/01,Final Jeopardy!,USA,,"Now part of a national recreation area, it was once referred to as ""Uncle Sam's Devil's Island""",Alcatraz Island
1/29/97,Final Jeopardy!,U.S. PRESIDENTS,,2 of the 5 U.S. presidents who played football for their college teams,"Eisenhower, Kennedy, Nixon, Ford & Reagan"
11/11/08,Final Jeopardy!,EARTH FACTS,,"Because of the Earth's rotation, a person at sea level is lightest when standing at this degree of latitude",0 degrees
11/6/01,Final Jeopardy!,FICTIONAL CHARACTERS,,"Character from an 18th century tale who felt ""Above an hundred arrows discharged on my left hand""",Gulliver
10/13/10,Final Jeopardy!,BRITISH AUTHORS,,"His son Christopher said, my father ""got to where he was by climbing upon my infant shoulders""",A.A. Milne
2/21/97,Final Jeopardy!,BRITISH STATESMEN,,"In a 1940 eulogy of this man, Churchill spoke of his ""Love of peace....Toil for peace....Strife for peace""",Neville Chamberlain
3/24/06,Final Jeopardy!,HISTORIC NAMES,,"When Alexander Hamilton & James Monroe nearly met in a duel, this man interceded & defused the situation",Aaron Burr
4/18/11,Final Jeopardy!,BASEBALL GEOGRAPHY,,"After Alaska, it's the largest state in area without a Major League Baseball team",Montana
4/19/05,Final Jeopardy!,THE CABINET,,"A top member of the Reagan Cabinet, he was also Labor Secretary & Treasury Secretary under Richard Nixon",George Shultz
6/1/98,Final Jeopardy!,SHIPS,,"It was refloated, towed to Matauri Bay & sunk there Dec. 12, 1987, with full Maori ceremony",The Rainbow Warrior (of Greenpeace)
2/2/11,Final Jeopardy!,U.S. PRESIDENTS,,"Of the 20 presidents elected to a second term, 2 of the 3 who failed to complete that term","(2 of) Lincoln, Nixon & McKinley"
2/9/01,Final Jeopardy!,CHILDREN'S LITERATURE,,First line of the poem thought to be based on Mary Sawyer's experience at a Massachusetts school-house around 1815,"\""Mary had a little lamb\"""
12/1/04,Final Jeopardy!,THE 18th CENTURY,,In 1790 the HMS Pandora sailed thousands of miles specifically to bring back this man but failed,Fletcher Christian
5/6/08,Final Jeopardy!,THE 7 WONDERS OF THE WORLD,,"Philo of Byzantium called it a ploughed field ""above the heads of those who walk between the columns below""",the Hanging Gardens of Babylon
4/6/01,Final Jeopardy!,20th CENTURY ENTERTAINMENT,,"Truffaut's ""The 400 Blows"" & the Talking Heads' ""Psycho Killer"" were both part of movements named this","\""New Wave\"" (\""Nouvelle Vague\"")"
5/4/11,Final Jeopardy!,FAMOUS SPEECHES,,"Just 10 sentences, this speech is wrong on one point: it is long remembered",the Gettysburg Address
10/16/08,Final Jeopardy!,PRESIDENTIAL ELECTION HISTORY,,"Due to the large numbers of men away from home, it was the first year a majority of states counted absentee votes",1864
7/28/10,Final Jeopardy!,RELIGION,,"An aid to the faithful since the 13th century, one standard version has parts arranged in groups of 1, 3 or 10",the rosary
5/26/06,Final Jeopardy!,20th CENTURY WOMEN,,"In 1964, in a rare interview, she said, ""All I want to be is the Jane Austen of South Alabama...""",Harper Lee
2/19/01,Final Jeopardy!,THE U.S. SPACE PROGRAM,,"Of the Apollo missions, the total number that successfully landed men on the moon","6 (11, 12, 14, 15, 16 & 17)"
11/3/05,Final Jeopardy!,CELEBRITIES,,"Calling him a Revolutionary, in 2000 Fidel Castro dedicated a statue of this man on the 20th anniversary of his murder",John Lennon
11/7/95,Final Jeopardy!,FRANCE,,Jacques Chirac is the 5th president of the 5th Republic; he was the first,Charles de Gaulle
12/12/01,Final Jeopardy!,TV SPIN-OFFS,,One of the 2 hourlong dramas spun off from popular half-hour sitcoms in the 1970s,"Lou Grant or Trapper John, M.D."
3/6/06,Final Jeopardy!,AMERICAN HISTORY,,"This legislative body first met on March 4, 1789 in New York City, but only 8 of its 22 members were present",the U.S. Senate
9/10/08,Final Jeopardy!,BRAND NAMES,,"To feature its ""Strong enough to stand on"" product, in 1965 Shwayder Bros., Inc. changed its name to this",Samsonite luggage
12/2/96,Final Jeopardy!,"NUMBER, PLEASE",,"Number of lines in the Elizabeth Barrett Browning poem that begins, ""How do I love thee? Let me count the ways""",14
3/17/98,Final Jeopardy!,STATE CAPITALS,,It's the only state capital whose name has 3 sets of double letters,Tallahassee
9/9/02,Final Jeopardy!,POETS,,"She has over 30 honorary degrees, wrote a poem for Clinton's first inauguration & now has a line of Hallmark Cards",Maya Angelou
12/24/02,Final Jeopardy!,U.S. STATES,,"This state is 2nd in blueberry production, 3rd in cranberries, 4th in peaches but 1st in chemical production",New Jersey
7/7/10,Final Jeopardy!,GEOGRAPHY,,2 of the 4 U.S. states that border Mexico,"(any 2 of ) Texas, New Mexico, Arizona, California"
9/6/01,Final Jeopardy!,HISTORIC NAMES,,"In 1978, Congress restored U.S. citizenship to this man seen <a href=""http://www.j-archive.com/media/2001-09-06_FJ.jpg"" target=""_blank"">here</a>",Jefferson Davis
10/21/02,Final Jeopardy!,PEOPLE,,"A British airport recently named for him features a logo with the words ""Above Us Only Sky""",John Lennon
11/2/09,Final Jeopardy!,HISTORIC AMERICANS,,"On July 11, 1804 he gasped to his doctor, ""This is a mortal wound""; he died the next day",Alexander Hamilton
11/28/97,Final Jeopardy!,TELEVISION,,"TV's No. 1 show for the 1979-80 season, it was also tops 13 years later for the 1992-93 season",60 Minutes
6/1/11,Final Jeopardy!,THE RAILROADS,,"The railroad founded in 1859 by a Kansas state charter reached this state capital on February 16, 1880",Santa Fe
11/24/10,Final Jeopardy!,PAINTINGS,,"The alternate name of this 16th century Italian painting also means ""cheerful""",the Mona Lisa
5/19/98,Final Jeopardy!,STATE CAPITALS,,In 1765 this city was named in honor of the peaceful resolution of a boundary dispute,"Concord, New Hampshire"
5/5/09,Final Jeopardy!,ON THE MOON,,It's the last word of the inscription on Apollo 11's plaque on the Moon & is also found in a related quotation,mankind
3/3/08,Final Jeopardy!,U.S. GEOGRAPHY,,"Of the USA's 50 tallest peaks, all are in Alaska, Colorado & California except this peak",Mt. Rainier (in Washington)
2/12/03,Final Jeopardy!,NEW ENGLAND,,It's the only state in New England that doesn't border the Atlantic Ocean,Vermont
3/27/07,Final Jeopardy!,ART HISTORY,,"Carel Fabritius, whose self-portrait is seen <a href=""http://www.j-archive.com/media/2007-03-27_FJ.jpg"" target=""_blank"">here</a>, is considered this man's greatest pupil",Rembrandt
11/25/94,Final Jeopardy!,AMERICAN POLITICAL TERMS,,"This phrase first appeared in 1845, followed by ""to overspread the continent alloted by providence""",Manifest Destiny
3/5/09,Final Jeopardy!,FRANCO-AMERICAN HISTORY,,"After a large French army was wiped out by yellow fever on this island in 1802, Napoleon decided to sell Louisiana",Hispaniola (or Haiti)
9/9/04,Final Jeopardy!,PRESIDENTS,,2 of the 3 men who went from being either a U.S. senator or congressman directly to the presidency,"(2 of) Kennedy, Garfield, and Harding"
1/31/11,Final Jeopardy!,21st CENTURY EMMYS,,"As 2 different characters, she is the first actress to win lead acting Emmys in both the drama & comedy categories",Edie Falco
11/26/02,Final Jeopardy!,POLITICIANS,,Name of the man who would serve as chief executive if President Bush & Vice President Cheney were incapacitated,Dennis Hastert (Speaker of the House)
11/17/04,Final Jeopardy!,SCIENCE NEWS,,"In June 2000 Bill Clinton described it as ""the most wondrous map ever produced""",the human genome
1/11/08,Final Jeopardy!,OPERA INSPIRATIONS,,Scholars think that a panpipe found by Captain Cook in what is now Vanuatu inspired this 18th century opera,The Magic Flute
5/15/08,Final Jeopardy!,HISTORIC JOURNALS,,"On January 18, 1912 he arrived at a tent near the pole & found ""a record of five Norwegians having been there""",Robert F. Scott
9/28/92,Final Jeopardy!,ENTERTAINERS OF THE PAST,,"This Missouri-born expatriate starred in the 1935 French film ""Princess Tam-Tam""",Josephine Baker
1/19/10,Final Jeopardy!,U.S. STATE NAMES,,"It's the only 1-word U.S. state that contains the entire name, in order, of another state",Arkansas
2/14/01,Final Jeopardy!,FAMOUS PLACES,,"It's the town where Francisco Marto, Jacinta Marco & their cousin became famous in 1917","Fatima, Portugal"
9/20/05,Final Jeopardy!,BY THE NUMBERS,,"The phrase ""How I want a drink, alcoholic of course"" is often used to help memorize this",Pi
2/15/11,Final Jeopardy!,U.S. CITIES,,"Its largest airport is named for a World War II hero; its second largest, for a World War II battle",Chicago
9/25/97,Final Jeopardy!,IN THE NEWS,,"Requested by Ulysses S. Grant in the 1870s, it was first used by Bill Clinton August 11, 1997",Line-Item Veto
9/27/84,Final Jeopardy!,BUSINESS & INDUSTRY,,"Automaker that introduced the alternator, power steering & electric ignition",Chrysler
7/16/10,Final Jeopardy!,NO. 1 POP HITS,,A 1987 remake of this 1959 hit was the first song with all Spanish lyrics to hit No. 1 on the Billboard Hot 100,"\""La Bamba\"""
2/19/03,Final Jeopardy!,COMPANY NAMES,,This company was named for the sound made by its top product -- a slingshot hitting its target,Wham-O
1/24/05,Final Jeopardy!,MIDDLE EASTERN AFFAIRS,,"The Arab-Israeli War that started on June 5, 1967 ended with a cease-fire on this date in Israel",10-Jun-67
2/1/10,Final Jeopardy!,MEDICINE,,"The genes of this organism were discovered to be 2 parts pig, 1 part human & 1 part bird",H1N1 (or swine flu)
9/13/06,Final Jeopardy!,VICE PRESIDENTS,,The 2 GOP vice presidents who succeeded to the presidency & were later elected president in their own right,Theodore Roosevelt & Calvin Coolidge
3/22/10,Final Jeopardy!,SHAKESPEARE TITLES,,"It's not one of the Bard's better-known comedy titles, but has the distinction of containing the most apostrophes",Love's Labour's Lost
12/15/97,Final Jeopardy!,SPORTS,,Dennis Conner is the only representative of the U.S. ever to lose this race -- he did it twice,The America's Cup
11/10/03,Final Jeopardy!,NEW ORLEANS,,"At the end of the American Revolution, this country controlled New Orleans",Spain
5/12/09,Final Jeopardy!,WORDS OF INSPIRATION,,"A professor's 2007 address at Carnegie Mellon on ""really achieving your childhood dreams"" inspired millions under this title",The Last Lecture
5/8/07,Final Jeopardy!,U.S. PRESIDENTS,,"In his first term, this president held the first press conference that would be shown on TV--later that day",Dwight Eisenhower
12/29/99,Final Jeopardy!,THE 1970s,,"A change of procedure in 1979 led to 3 of these being named Bob, David & Frederic",Hurricanes
